"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site"
"0056",100,"sample","0056","","","",NA,NA,"female collared bear","24",250.25,NA
"1435",99,"sample","1435","","","",NA,NA,"female collared bear","24",250.25,NA
"2213",98,"sample","2213","","","",NA,NA,"female collared bear","24",250.25,NA
"3001",97,"sample","3002","","","",NA,NA,"male collared bear - e-extracted and run on XR because gender did not match field data, and sample matched to another captured bear (3002). Genotype confirmed through re-extraction, and original sample run twice","24",250.25,NA
"3002",101,"sample","3002","","","",NA,NA,"roots very small, hairs more underfur like. not sure about this sample. female collared bear","23",250.25,NA
"3101",1097,"sample","3101","","","",NA,NA,"male collared bear, March 1, 2013 Mother 1435","24",204.25,NA
"3103",1098,"sample","3103","","","",NA,NA,"re-extracted 6/26/2013 8 GH, C. not sure about roots, female collared bear, March 1, 2013 Mother 1435","24",250.25,NA
"26-67-01",26,"sample","25-55-01","26","","67-01",1,1,"1st envelope","12",204.25,67
"26-33-04",93,"sample","7-34-11","26","","33-04",2,1,"","9",204.25,33
"26-46-09",1031,"Xbomb","","26","","46-09",3,2,"","6",204.25,46
"84-2-6",NA,"Xsubselect","","284","","",4,3,"","0",NA,NA
"87-1-1",NA,"Xsubselect","","285","","",4,NA,"","0",NA,NA
"56-5-10",NA,"Xsubselect","","286","","",4,NA,"","0",NA,NA
"45-4-4",NA,"Xsubselect","","287","","",4,NA,"","0",NA,NA
"62-2-1",NA,"Xsubselect","","288","","",4,NA,"","0",NA,NA
"86-6-5",NA,"Xsubselect","","289","","",4,NA,"","0",NA,NA
"106-2-1",NA,"Xsubselect","","290","","",4,NA,"","0",NA,NA
"26-1-19",NA,"Xsubselect","","291","","",4,NA,"","0",NA,NA
"109-4-4",NA,"Xsubselect","","292","","",4,NA,"","0",NA,NA
"4-3-4",NA,"Xsubselect","","293","","",4,NA,"","0",NA,NA
"75-1-2",NA,"Xsubselect","","294","","",4,NA,"","0",NA,NA
"26-1-14",NA,"Xsubselect","","295","","",4,NA,"","0",NA,NA
"56-5-1",NA,"Xsubselect","","296","","",4,NA,"","0",NA,NA
"106-2-3",NA,"Xsubselect","","297","","",4,NA,"","0",NA,NA
"10-2-6",NA,"Xsubselect","","298","","",4,NA,"","0",NA,NA
"52-4-5",NA,"Xsubselect","","299","","",4,NA,"","0",NA,NA
"91-5-2",NA,"Xsubselect","","300","","",4,NA,"","0",NA,NA
"96-2-13",NA,"Xsubselect","","301","","",4,NA,"","0",NA,NA
"10-2-15",NA,"Xsubselect","","302","","",4,NA,"","0",NA,NA
"11-5-2",NA,"Xsubselect","","303","","",4,NA,"","0",NA,NA
"101-5-2",NA,"Xsubselect","","304","","",4,NA,"","0",NA,NA
"91-3-2",NA,"Xsubselect","","305","","",4,NA,"","0",NA,NA
"34-4-4",NA,"Xsubselect","","306","","",4,NA,"","0",NA,NA
"84-2-1",NA,"Xsubselect","","307","","",4,NA,"","0",NA,NA
"26-2-9",NA,"Xsubselect","","308","","",4,NA,"","0",NA,NA
"109-3-1",NA,"Xsubselect","","309","","",4,NA,"","0",NA,NA
"72-2-1",NA,"Xsubselect","","310","","",4,NA,"","0",NA,NA
"119-2-3",NA,"Xsubselect","","311","","",4,NA,"","0",NA,NA
"46-4-12",NA,"Xsubselect","","312","","",4,NA,"","0",NA,NA
"16-2-11",NA,"Xsubselect","","313","","",4,NA,"","0",NA,NA
"90-4-3",NA,"Xsubselect","","314","","",4,NA,"","0",NA,NA
"60-2-2",NA,"Xsubselect","","315","","",4,NA,"","0",NA,NA
"102-6-1",NA,"Xsubselect","","316","","",4,NA,"","0",NA,NA
"26-2-4",NA,"Xsubselect","","317","","",4,NA,"","0",NA,NA
"66-1-2",NA,"Xsubselect","","318","","",4,NA,"","0",NA,NA
"104-5-1",NA,"Xsubselect","","319","","",4,NA,"","0",NA,NA
"22-5-8",NA,"Xsubselect","","320","","",4,NA,"","0",NA,NA
"90-2-2",NA,"Xsubselect","","321","","",4,NA,"","0",NA,NA
"62-2-4",NA,"Xsubselect","","322","","",4,NA,"","0",NA,NA
"85-4-5",NA,"Xsubselect","","323","","",4,NA,"","0",NA,NA
"67-2-4",NA,"Xsubselect","","324","","",4,NA,"","0",NA,NA
"16-3-4",NA,"Xsubselect","","325","","",4,NA,"","0",NA,NA
"75-4-5",NA,"Xsubselect","","326","","",4,NA,"","0",NA,NA
"46-4-7",NA,"Xsubselect","","327","","",4,NA,"","0",NA,NA
"14-1-1",NA,"Xsubselect","","328","","",4,NA,"","0",NA,NA
"42-2-4",NA,"Xsubselect","","329","","",4,NA,"","0",NA,NA
"106-4-2",NA,"Xsubselect","","330","","",4,NA,"","0",NA,NA
"106-4-1",NA,"Xsubselect","","331","","",4,NA,"","0",NA,NA
"71-3-3",NA,"Xsubselect","","332","","",4,NA,"","0",NA,NA
"105-4-4",NA,"Xsubselect","","333","","",4,NA,"","0",NA,NA
"92-3-14",NA,"Xsubselect","","334","","",4,NA,"","0",NA,NA
"100-1-6",NA,"Xsubselect","","335","","",4,NA,"","0",NA,NA
"26-1-8",NA,"Xsubselect","","336","","",4,NA,"","0",NA,NA
"26-2-8",NA,"Xsubselect","","337","","",4,NA,"","0",NA,NA
"87-1-9",NA,"Xsubselect","","338","","",4,NA,"","0",NA,NA
"21-5-6",NA,"Xsubselect","","339","","",4,NA,"","0",NA,NA
"55-4-1",NA,"Xsubselect","","340","","",4,NA,"","0",NA,NA
"10-3-6",NA,"Xsubselect","","341","","",4,NA,"","0",NA,NA
"60-4-6",NA,"Xsubselect","","342","","",4,NA,"","0",NA,NA
"11-2-6",NA,"Xsubselect","","343","","",4,NA,"","0",NA,NA
"16-5-6",NA,"Xsubselect","","344","","",4,NA,"","0",NA,NA
"26-1-6",NA,"Xsubselect","","345","","",4,NA,"","0",NA,NA
"32-4-4",NA,"Xsubselect","","346","","",4,NA,"","0",NA,NA
"100-4-2",NA,"Xsubselect","","347","","",4,NA,"","0",NA,NA
"64-4-5",NA,"Xsubselect","","348","","",4,NA,"","0",NA,NA
"90-2-5",NA,"Xsubselect","","349","","",4,NA,"","0",NA,NA
"34-6-3",NA,"Xsubselect","","350","","",4,NA,"","0",NA,NA
"39-5-6",NA,"Xsubselect","","351","","",4,NA,"","0",NA,NA
"10-2-4",NA,"Xsubselect","","352","","",4,NA,"","0",NA,NA
"34-2-6",NA,"Xsubselect","","353","","",4,NA,"","0",NA,NA
"34-2-4",NA,"Xsubselect","","354","","",4,NA,"","0",NA,NA
"55-4-6",NA,"Xsubselect","","355","","",4,NA,"","0",NA,NA
"120-4-13",NA,"Xsubselect","","356","","",4,NA,"","0",NA,NA
"92-3-12",NA,"Xsubselect","","357","","",4,NA,"","0",NA,NA
"26-1-21",NA,"Xsubselect","","358","","",4,NA,"","0",NA,NA
"90-2-11",NA,"Xsubselect","","359","","",4,NA,"","0",NA,NA
"114-6-6",NA,"Xsubselect","","360","","",4,NA,"","0",NA,NA
"73-5-3",NA,"Xsubselect","","361","","",4,NA,"","0",NA,NA
"34-4-12",NA,"Xsubselect","","362","","",4,NA,"","0",NA,NA
"50-3-5",NA,"Xsubselect","","363","","",4,NA,"","0",NA,NA
"45-4-2",NA,"Xsubselect","","364","","",4,NA,"","0",NA,NA
"27-4-2",NA,"Xsubselect","","365","","",4,NA,"","0",NA,NA
"69-3-2",NA,"Xsubselect","","366","","",4,NA,"","0",NA,NA
"100-3-5",NA,"Xsubselect","","367","","",4,NA,"","0",NA,NA
"56-5-6",NA,"Xsubselect","","368","","",4,NA,"","0",NA,NA
"121-5-7",NA,"Xsubselect","","369","","",4,NA,"","0",NA,NA
"101-5-3",NA,"Xsubselect","","370","","",4,NA,"","0",NA,NA
"89-4-2",NA,"Xsubselect","","371","","",4,NA,"","0",NA,NA
"16-2-8",NA,"Xsubselect","","372","","",4,NA,"","0",NA,NA
"10-5-6",NA,"Xsubselect","","373","","",4,NA,"","0",NA,NA
"69-4-3",NA,"Xsubselect","","374","","",4,NA,"","0",NA,NA
"28-3-5",NA,"Xsubselect","","375","","",4,NA,"","0",NA,NA
"109-4-1",NA,"Xsubselect","","376","","",4,NA,"","0",NA,NA
"16-1-5",NA,"Xsubselect","","377","","",4,NA,"","0",NA,NA
"62-4-8",NA,"Xsubselect","","378","","",4,NA,"","0",NA,NA
"14-3-3",NA,"Xsubselect","","379","","",4,NA,"","0",NA,NA
"50-5-7",NA,"Xsubselect","","380","","",4,NA,"","0",NA,NA
"16-2-10",NA,"Xsubselect","","381","","",4,NA,"","0",NA,NA
"41-5-3",NA,"Xsubselect","","382","","",4,NA,"","0",NA,NA
"34-3-9",NA,"Xsubselect","","383","","",4,NA,"","0",NA,NA
"15-2-7",NA,"Xsubselect","","384","","",4,NA,"","0",NA,NA
"56-3-5",NA,"Xsubselect","","385","","",4,NA,"","0",NA,NA
"109-3-3",NA,"Xsubselect","","386","","",4,NA,"","0",NA,NA
"100-4-3",NA,"Xsubselect","","387","","",4,NA,"","0",NA,NA
"62-5-2",NA,"Xsubselect","","388","","",4,NA,"","0",NA,NA
"75-6-3",NA,"Xsubselect","","389","","",4,NA,"","0",NA,NA
"71-6-1",NA,"Xsubselect","","390","","",4,NA,"","0",NA,NA
"92-3-9",NA,"Xsubselect","","391","","",4,NA,"","0",NA,NA
"50-4-2",NA,"Xsubselect","","392","","",4,NA,"","0",NA,NA
"90-4-4",NA,"Xsubselect","","393","","",4,NA,"","0",NA,NA
"62-4-12",NA,"Xsubselect","","394","","",4,NA,"","0",NA,NA
"41-6-3",NA,"Xsubselect","","395","","",4,NA,"","0",NA,NA
"34-4-10",NA,"Xsubselect","","396","","",4,NA,"","0",NA,NA
"14-2-2",NA,"Xsubselect","","397","","",4,NA,"","0",NA,NA
"119-2-5",NA,"Xsubselect","","398","","",4,NA,"","0",NA,NA
"67-6-7",NA,"Xsubselect","","399","","",4,NA,"","0",NA,NA
"36-3-6",NA,"Xsubselect","","400","","",4,NA,"","0",NA,NA
"71-4-7",NA,"Xsubselect","","401","","",4,NA,"","0",NA,NA
"22-4-5",NA,"Xsubselect","","402","","",4,NA,"","0",NA,NA
"90-1-1",NA,"Xsubselect","","403","","",4,NA,"","0",NA,NA
"103-3-3",NA,"Xsubselect","","404","","",4,NA,"","0",NA,NA
"96-2-10",NA,"Xsubselect","","405","","",4,NA,"","0",NA,NA
"120-1-5",NA,"Xsubselect","","406","","",4,NA,"","0",NA,NA
"109-4-2",NA,"Xsubselect","","407","","",4,NA,"","0",NA,NA
"62-4-3",NA,"Xsubselect","","408","","",4,NA,"","0",NA,NA
"29-4-6",NA,"Xsubselect","","409","","",4,NA,"","0",NA,NA
"56-3-6",NA,"Xsubselect","","410","","",4,NA,"","0",NA,NA
"34-3-8",NA,"Xsubselect","","411","","",4,NA,"","0",NA,NA
"27-4-6",NA,"Xsubselect","","412","","",4,NA,"","0",NA,NA
"120-1-8",NA,"Xsubselect","","413","","",4,NA,"","0",NA,NA
"33-3-3",NA,"Xsubselect","","414","","",4,NA,"","0",NA,NA
"34-3-10",NA,"Xsubselect","","415","","",4,NA,"","0",NA,NA
"34-4-5",NA,"Xsubselect","","416","","",4,NA,"","0",NA,NA
"55-3-2",NA,"Xsubselect","","417","","",4,NA,"","0",NA,NA
"39-5-7",NA,"Xsubselect","","418","","",4,NA,"","0",NA,NA
"87-1-4",NA,"Xsubselect","","419","","",4,NA,"","0",NA,NA
"87-2-2",NA,"Xsubselect","","420","","",4,NA,"","0",NA,NA
"60-5-4",NA,"Xsubselect","","421","","",4,NA,"","0",NA,NA
"109-3-5",NA,"Xsubselect","","422","","",4,NA,"","0",NA,NA
"10-6-1",NA,"Xsubselect","","423","","",4,NA,"","0",NA,NA
"87-4-2",NA,"Xsubselect","","424","","",4,NA,"","0",NA,NA
"27-1-4",NA,"Xsubselect","","425","","",4,NA,"","0",NA,NA
"34-5-1",NA,"Xsubselect","","426","","",4,NA,"","0",NA,NA
"16-2-4",NA,"Xsubselect","","427","","",4,NA,"","0",NA,NA
"34-2-10",NA,"Xsubselect","","428","","",4,NA,"","0",NA,NA
"114-4-3",NA,"Xsubselect","","429","","",4,NA,"","0",NA,NA
"41-6-1",NA,"Xsubselect","","430","","",4,NA,"","0",NA,NA
"86-4-1",NA,"Xsubselect","","431","","",4,NA,"","0",NA,NA
"18-3-3",NA,"Xsubselect","","432","","",4,NA,"","0",NA,NA
"93-4-4",NA,"Xsubselect","","433","","",4,NA,"","0",NA,NA
"91-5-6",NA,"Xsubselect","","434","","",4,NA,"","0",NA,NA
"75-4-1",NA,"Xsubselect","","435","","",4,NA,"","0",NA,NA
"",NA,"","","Field Data","","",NA,NA,"","Genetic Data",NA,NA
