"","estimate","lcl","ucl"
"D",11.4207434455691,8.01678187810832,16.2700423726993
"estimate" "lcl" "ucl"
"D" 11.9475410285551 8.52713775436565 16.7399355728629
"estimate" "lcl" "ucl"
"D" 13.1253418907076 9.34460779540724 18.4357228810217
"estimate" "lcl" "ucl"
"D" 13.6423291345504 9.72379639910412 19.1399672079262
"estimate" "lcl" "ucl"
"D" 12.7384218055986 9.11091237042609 17.8102239929413
"estimate" "lcl" "ucl"
"D" 11.7672475534961 8.40563278683227 16.4732529360757
"estimate" "lcl" "ucl"
"D" 12.9719729261164 9.31736911141693 18.0600424415628
"estimate" "lcl" "ucl"
"D" 11.951017183146 8.43477932283223 16.9330822117932
